X,Y,File
4.05,0.06767537,-avg_lam_0-10_six.txt
4.06,0.06766273,-avg_lam_0-10_six.txt
4.07,0.06765012,-avg_lam_0-10_six.txt
4.08,0.06763752,-avg_lam_0-10_six.txt
4.09,0.06762494,-avg_lam_0-10_six.txt
4.1,0.06761238,-avg_lam_0-10_six.txt
4.11,0.06759983,-avg_lam_0-10_six.txt
4.12,0.06758731,-avg_lam_0-10_six.txt
4.13,0.06757481,-avg_lam_0-10_six.txt
4.14,0.06756232,-avg_lam_0-10_six.txt
4.15,0.067549855,-avg_lam_0-10_six.txt
4.16,0.067537405,-avg_lam_0-10_six.txt
4.17,0.06752497,-avg_lam_0-10_six.txt
4.18,0.06751256,-avg_lam_0-10_six.txt
4.19,0.06750016,-avg_lam_0-10_six.txt
4.2,0.067487784,-avg_lam_0-10_six.txt
4.21,0.06747542,-avg_lam_0-10_six.txt
4.22,0.067463085,-avg_lam_0-10_six.txt
4.23,0.06745076,-avg_lam_0-10_six.txt
4.24,0.06743845,-avg_lam_0-10_six.txt
4.25,0.06742617,-avg_lam_0-10_six.txt
4.26,0.0674139,-avg_lam_0-10_six.txt
4.27,0.06740165,-avg_lam_0-10_six.txt
4.28,0.06738941,-avg_lam_0-10_six.txt
4.29,0.0673772,-avg_lam_0-10_six.txt
4.3,0.067365,-avg_lam_0-10_six.txt
4.31,0.067352824,-avg_lam_0-10_six.txt
4.32,0.06734066,-avg_lam_0-10_six.txt
4.33,0.06732851,-avg_lam_0-10_six.txt
4.34,0.06731638,-avg_lam_0-10_six.txt
4.35,0.067304276,-avg_lam_0-10_six.txt
4.36,0.067292176,-avg_lam_0-10_six.txt
4.37,0.067280106,-avg_lam_0-10_six.txt
4.38,0.067268044,-avg_lam_0-10_six.txt
4.39,0.067256,-avg_lam_0-10_six.txt
4.4,0.06724398,-avg_lam_0-10_six.txt
4.41,0.06723197,-avg_lam_0-10_six.txt
4.42,0.06721998,-avg_lam_0-10_six.txt
4.43,0.06720801,-avg_lam_0-10_six.txt
4.44,0.06719605,-avg_lam_0-10_six.txt
4.45,0.067184106,-avg_lam_0-10_six.txt
4.46,0.067172185,-avg_lam_0-10_six.txt
4.47,0.06716028,-avg_lam_0-10_six.txt
4.48,0.06714839,-avg_lam_0-10_six.txt
4.49,0.06713652,-avg_lam_0-10_six.txt
4.5,0.06712466,-avg_lam_0-10_six.txt
4.51,0.06711282,-avg_lam_0-10_six.txt
4.52,0.067101,-avg_lam_0-10_six.txt
4.53,0.06708919,-avg_lam_0-10_six.txt
4.54,0.067077406,-avg_lam_0-10_six.txt
4.55,0.06706563,-avg_lam_0-10_six.txt
4.56,0.06705387,-avg_lam_0-10_six.txt
4.57,0.067042135,-avg_lam_0-10_six.txt
4.58,0.06703041,-avg_lam_0-10_six.txt
4.59,0.0670187,-avg_lam_0-10_six.txt
4.6,0.067007005,-avg_lam_0-10_six.txt
4.61,0.06699533,-avg_lam_0-10_six.txt
4.62,0.06698368,-avg_lam_0-10_six.txt
4.63,0.06697203,-avg_lam_0-10_six.txt
4.64,0.0669604,-avg_lam_0-10_six.txt
4.65,0.066948794,-avg_lam_0-10_six.txt
4.66,0.0669372,-avg_lam_0-10_six.txt
4.67,0.06692562,-avg_lam_0-10_six.txt
4.68,0.06691406,-avg_lam_0-10_six.txt
4.69,0.06690251,-avg_lam_0-10_six.txt
4.7,0.06689098,-avg_lam_0-10_six.txt
4.71,0.06687946,-avg_lam_0-10_six.txt
4.72,0.06686796,-avg_lam_0-10_six.txt
4.73,0.06685648,-avg_lam_0-10_six.txt
4.74,0.06684501,-avg_lam_0-10_six.txt
